time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0.097,0.00198367,-0.00198368,-0.0181582,-0.043183,-0.0114443,-0.00259404,-0.0205997,-0.0254826,-0.0337224,0.00656138,0.00686656,0.00869764
0.098,0.027924,-0.00503548,-0.0199893,-0.0138857,-0.00961319,0.00839246,-0.0251774,-0.0218204,-0.034638,0.00747692,0.0138857,0.0114443
0.099,0.0483711,-0.0111391,-0.0187686,-0.00900283,-0.00930801,0.0474556,-0.0218204,-0.0209049,-0.041352,0.00289921,0.0181582,0.0157168
0.1,0.0440986,-0.0132754,-0.0224308,-0.012665,-0.00930801,0.0514229,-0.0166323,-0.0233463,-0.04654,0.00259403,0.0221256,0.019379
0.101,0.0163272,-0.016022,-0.0233463,0.0202945,-0.00534066,-0.0199893,-0.0196841,-0.019379,-0.0386053,-0.00106813,0.0318914,0.0157168
0.102,0.0151064,-0.0169375,-0.0202945,0.134432,-0.00503548,-0.019379,-0.0215152,-0.0199893,-0.0370794,0.000152588,0.0221256,0.0102235
0.103,0.00137331,-0.00991837,-0.0202945,0.0975051,-0.00808728,-0.0267033,-0.0175479,-0.0224308,-0.041352,-0.00137331,0.00350957,0.00473029
0.104,-0.0172427,-0.00656138,-0.0215152,-0.0703441,-0.0148013,-0.0190738,-0.0215152,-0.0233463,-0.0386053,-0.00259404,-0.0163272,0.0123598
0.105,0.00381475,-0.0105287,-0.0227359,-0.161593,-0.0178531,-0.0202945,-0.0227359,-0.02121,-0.0343328,-0.00411994,-0.0398261,0.0148012
0.106,0.0251774,-0.00839246,-0.024567,-0.0294499,-0.00717174,-0.00381476,-0.0218204,-0.0178531,-0.0328069,-0.00198368,-0.041352,0.0138857
0.107,0.0187686,-0.00534066,-0.0205997,0.0392157,-0.00381476,0.02121,-0.0257877,-0.0236515,-0.0337224,-0.00228886,-0.041352,0.00595102
0.108,0.00534066,-0.00564584,-0.0157168,0.0117494,-0.0117494,0.00961318,-0.0260929,-0.0257877,-0.0376898,-0.00228886,-0.0383001,0.00686656
0.109,0.0154116,-0.00564584,-0.00869764,0.0294499,-0.0257877,0.0447089,-0.0224308,-0.0190738,-0.0392157,-0.000152593,-0.0163272,0.0120546
