Time,LGLTMED,LRF,LADDLONG,LBF,LTA,LGM
0.473,0.0028907968173196917,0.0029463479347240722,0.00799474170746968,0.0020807263300579464,0.0239608935576771,0.003677811732148748
0.474,0.002899434400639524,0.002942090033110336,0.0080870653469344,0.002095686029178931,0.024133755470445148,0.003646529330495888
0.475,0.0029080542098424643,0.00293755144470856,0.00817921957228973,0.00211100045715419,0.024302829796220265,0.0036152879812721785
0.476,0.0029166512946679035,0.0029327376501999108,0.008271124969359701,0.002126632298450474,0.024468044588741116,0.0035841229726467174
0.477,0.0029252206423557373,0.0029276548355631035,0.00836270246178691,0.0021425430937137705,0.024629329900555275,0.0035530685382657175
0.478,0.0029337571839638636,0.0029223098801541146,0.008453873389541611,0.002158693273431069,0.024786617832789126,0.003522157840423895
0.479,0.002942255800745538,0.002916710343407917,0.008544559585177495,0.002175042194012837,0.0249398425823318,0.0034914229556338517
0.48,0.0029507113305268225,0.002910864450178419,0.008634683447812663,0.002191548176300146,0.025088940486164866,0.003460894862576688
0.481,0.0029591185740197932,0.002904781074732757,0.008724168014809934,0.0022081685464982463,0.02523385006253291,0.003430603432410825
0.482,0.0029674723010043574,0.002898469723418581,0.008812937031122802,0.002224859679535091,0.025374512048640625,0.0034005774214085206
0.483,0.002975767256311713,0.002891940516028373,0.008900915016265812,0.002241577044838907,0.025510869434609243,0.0033708444658809645
0.484,0.002983998165545504,0.0028852041658926925,0.008988027328864789,0.0022582752545238657,0.02564286749351958,0.003341431079344073
0.485,0.002992159740481277,0.0028782719587426317,0.009074200228743522,0.0022749081139675845,0.025770453807466,0.00331236265187
0.486,0.003000246684089311,0.002871155730389047,0.00915936093650482,0.0022914286747589014,0.0258935782896054,0.003283663451564811
0.487,0.0030082536951285964,0.0028638678432733183,0.009243437690562264,0.0023077892899894406,0.026012193202213943,0.003255356628109692
0.488,0.0030161754722606354,0.0028564211619535804,0.00932635980157536,0.0023239416718581598,0.026126253170800442,0.003227464218299713
0.489,0.0030240067176335803,0.002848829027600451,0.009408057704239282,0.0023398369515541424,0.026235715194387756,0.0032000071535097734
0.49,0.003031742139893686,0.002841105231583555,0.009488463006384932,0.002355425741379011,0.02634053865213838,0.003173005269011455
0.491,0.0030393764565939075,0.002833263988232268,0.009567508535356073,0.0023706581990660994,0.02644068530653763,0.003146477315057006
0.492,0.003046904395988191,0.0028253199068522254,0.009645128381642006,0.002385484094249013,0.026536119303357947,0.003120440969637909
0.493,0.0030543206982216803,0.002817287963075192,0.00972125793974772,0.002399852877028068,0.026626807168636763,0.0030949128528167855
0.494,0.0030616201159464943,0.0028091834696150303,0.009795833946277595,0.002413713748579795,0.026712717802926014,0.0030699085425242613
0.495,0.003068797414404729,0.002801022046496835,0.009868794515203326,0.002427015733751552,0.02679382247310685,0.0030454425917084975
0.496,0.0030758473710234082,0.0027928195908205745,0.009940079170294564,0.002439707755579432,0.02687009480208704,0.003021528546725249
0.497,0.0030827647745634373,0.002784592246116202,0.01000962887471859,0.0024517387116631782,0.026941510756705183,0.0029981789668592335
0.498,0.003089544423860635,0.0027763563713449706,0.01007738605785894,0.002463057552327709,0.02700804863416858,0.0029754054448707236
0.499,0.0030961811261938175,0.0027681285096010553,0.010143294639449433,0.0024736133604974985,0.02706968904735704,0.0029532186284634034
0.5,0.003102669695312242,0.0027599253565677257,0.010207300051157187,0.0024833554332067396,0.02712641490932272,0.002931628242572181
0.501,0.0031090049491513264,0.0027517637287838735,0.010269349255774662,0.0024922333646640936,0.02717821141730089,0.0029106431123746565
0.502,0.0031151817072613587,0.0027436605317802247,0.01032939076420366,0.0025001971307858284,0.027225066036535916,0.0028902711869366955
0.503,0.003121194787970494,0.0027356327281492176,0.010387374650435634,0.002507197175106559,0.027266968484234558,0.0028705195634084932
0.504,0.0031270390053031697,0.002727697305616682,0.010443252564747487,0.002513184495974349,0.027303910713973513,0.0028513945116913565
0.505,0.003132709165679387,0.0027198712451860924,0.01049697774533615,0.0025181107349372153,0.02733588690088822,0.0028329014994990095
0.506,0.003138200064427538,0.0027121714894275035,0.010548505028610702,0.0025219282662294162,0.027362893427949363,0.0028150452177435697
0.507,0.0031435064821502758,0.002704614910984861,0.010597790858351162,0.002524590287266203,0.027384928873600115,0.002797829606186518
0.508,0.003148623180987151,0.002697218281378529,0.01064479329393004,0.0025260509100551395,0.02740199400098781,0.0027812578793075284
0.509,0.003153544900819901,0.002689998240183362,0.010689472017777544,0.0025262652534328365,0.027414091748977822,0.0027653325523559883
0.51,0.0031582663554680316,0.002682971264663306,0.010731788342256885,0.0025251895360387114,0.027421227225079767,0.0027500554675583054
0.511,0.003162782228924766,0.002676153639939775,0.010771705216105647,0.002522781169940115,0.02742340770034263,0.0027354278204569055
0.512,0.0031670871716866543,0.002669561429763994,0.010809187230594668,0.002518998854823403,0.027420642606191717,0.002721450186354508
0.513,0.0031711757972330288,0.0026632104479550897,0.010844200625556081,0.0025138026726629205,0.027412943533102592,0.002708122546831679
0.514,0.00317504267871252,0.0026571162305579384,0.010876713295432237,0.0025071541827758346,0.02740032423095715,0.0026954443162988213
0.515,0.0031786823458923043,0.0026512940087689892,0.010906694795491771,0.0024990165171664257,0.027382800610912247,0.002683414368537218
0.516,0.003182089282423256,0.002645758682674639,0.010934116348346536,0.002489354476059141,0.027360390748618107,0.002672031063178626
0.517,0.003185257923473751,0.002640524795843491,0.010958950850886271,0.002478134623515804,0.027333114888626935,0.0026612922720698606
0.518,0.0031881826537876346,0.002635606510809167,0.010981172881729796,0.0024653253830293266,0.02730099544982934,0.0026511954054679984
0.519,0.003190857806225474,0.002631017585474223,0.011000758709273908,0.0024508971329840396,0.027264057031771222,0.00264173743801241
0.52,0.003193277660848749,0.002626771350459919,0.011017686300405257,0.0024348223018706926,0.027222326421755597,0.0026329149344209183
0.521,0.00319543644460256,0.002622880687422317,0.011031935329927743,0.0024170754631415584,0.02717583260270854,0.002624724074859234
