Time,GRW1.F,,,GRW1.M,,,GRW1,,,GRW1.DA,,,GRW2.F,,,GRW2.M,,,GRW2,,,GRW2.DA,,,GRW3.F,,,GRW3.M,,,GRW3,,,GRW3.DA,,
11.5,-0.300079,-1.17882,2.47464,-649.262,-195.227,-2002.74,14.016,-322.669,-1.56505,115.471,96.914,255.718,1.51338,-1.83859,4.84159,-496.371,-125.661,33.4767,-187.471,286.49,-7.57538,110.794,72.6418,309.459,-0.0952609,-5.13568,1.17775,-268.026,-22.0859,418.957,213.433,287.204,0.62162,167.084,94.6242,268.937
11.51,-0.599907,-1.3957,2.47036,-930.473,-380.928,-2068.18,14.016,-322.669,-1.56505,119.466,103.65,246.741,2.01429,-2.03304,2.85261,-395.195,-161.531,124.026,-187.471,286.49,-7.57538,125.477,54.7733,314.735,-0.39637,-5.59071,2.03542,-144.635,-52.9937,291.504,213.433,287.204,0.62162,159.995,101.02,265.945
11.52,-0.481627,-1.31211,2.99778,-743.82,-236.265,-2072.05,14.016,-322.669,-1.56505,113.639,99.1272,249.844,2.17148,-1.64025,3.3288,-469.632,-152.747,71.9772,-187.471,286.49,-7.57538,116.232,56.8822,322.934,-0.00643402,-4.92895,0.709019,-40.0394,-8.24475,409.793,213.433,287.204,0.62162,171.814,90.5199,269.925
11.53,-0.463056,-1.33206,1.94732,-730.927,-235.637,-2000.32,14.016,-322.669,-1.56505,124.374,103.376,250.831,1.42445,-1.25048,2.77562,-400.847,-103.631,91.3602,-187.471,286.49,-7.57538,114.253,62.8331,318.721,0.0361106,-5.05328,0.631397,-61.1545,84.7246,424.889,213.433,287.204,0.62162,172.878,86.7267,270.409
11.54,-0.481795,-1.19886,2.82224,-740.318,-193.852,-2063.88,14.016,-322.669,-1.56505,113.015,99.6878,248.106,2.01719,-1.79767,3.72682,-430.263,-205.359,67.4264,-187.471,286.49,-7.57538,115.751,61.575,318.293,-0.392779,-4.84535,1.72166,-82.3156,-18.5008,314.714,213.433,287.204,0.62162,160.439,102.852,265.366
11.55,-0.575919,-1.33194,1.9457,-714.009,-66.8306,-2027.61,14.016,-322.669,-1.56505,124.394,106.489,246.617,2.1349,-1.79728,3.8058,-573.304,-185.95,86.094,-187.471,286.49,-7.57538,115.279,60.7094,319.907,-0.524256,-4.72062,2.26782,-217.682,-4.75519,289.385,213.433,287.204,0.62162,154.34,103.017,263.663
11.56,-0.668227,-1.21658,2.20522,-681.655,-278.121,-2081.69,14.016,-322.669,-1.56505,118.885,106.858,241.221,1.58618,-2.11293,3.33127,-303.96,-155.469,152.97,-187.471,286.49,-7.57538,122.386,64.5385,306.896,-0.0221187,-5.30061,1.96161,6.74512,26.2302,422.395,213.433,287.204,0.62162,159.692,90.646,269.761
11.57,-0.438077,-1.26473,2.56045,-834.537,-277.002,-2035.09,14.016,-322.669,-1.56505,116.287,99.7089,250.895,1.58359,-1.83835,2.9339,-241.604,-181.486,95.0041,-187.471,286.49,-7.57538,122.071,61.6418,310.742,-0.0190376,-5.50796,1.72701,-141.35,17.4341,304.003,213.433,287.204,0.62162,162.591,90.6316,269.802
11.58,-0.43745,-1.33597,2.29961,-669.325,-131.049,-1993.13,14.016,-322.669,-1.56505,120.155,100.771,251.869,2.05602,-2.11135,3.40876,-255.683,-241.856,224.582,-187.471,286.49,-7.57538,121.774,58.9034,314.239,-0.147747,-4.9692,2.03799,-182.756,-11.693,415.953,213.433,287.204,0.62162,157.7,94.1465,268.297
11.59,-0.461448,-1.08199,2.47092,-874.645,-297.395,-2053.09,14.016,-322.669,-1.56505,113.648,100.578,246.903,1.73835,-1.72015,2.61535,-266.955,-102.601,177.677,-187.471,286.49,-7.57538,123.333,56.3891,315.302,-0.0517871,-5.13581,1.02175,-142.349,-23.797,384.91,213.433,287.204,0.62162,168.748,92.9015,269.422
