time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
5.04500019,-14.96650881,1.87094109,13.99070497,-2.17930507,0.96708237,0.2949043,23.72767647,-3.12081094,-12.02121366,105.1523674,105.1523674,-8.94828024,0,0,37.71190764,2.01610578,-5.16691939,42.84190616,42.84190616,6.8762162,0,0,-31.72702894,-4.2997977,-6.29723174,-6.90617728,-11.13251741,-23.14411469,72.44212709,26.653224,0,0,15.59566885,-23.3751123,4.67045082,98.76136998,39.55535078,0,0
5.05000019,-14.72213425,1.64671126,15.31072295,-2.14942306,0.96421169,0.29306266,26.1854616,-3.80601877,-12.61447477,107.6654261,107.6654261,-6.95997989,0,0,35.54774081,2.32551284,-3.6223413,43.09098968,43.09098968,9.61168768,0,0,-31.5204724,-3.43652208,-7.58599736,-9.6882873,-11.24849713,-22.0839102,70.34322496,29.61325518,0,0,19.62461299,-22.35529208,5.70304866,99.72615413,40.59557627,0,0
5.05500019,-14.43910422,1.32932613,16.66890048,-2.11969949,0.96122232,0.29111911,28.66497578,-4.50697325,-13.16789734,109.8759963,109.8759963,-4.98790368,0,0,33.36515718,2.46159537,-2.01633063,43.28088084,43.28088084,12.30282374,0,0,-31.29483081,-2.43193633,-8.93071383,-12.57573462,-11.46476203,-20.86178768,68.86276483,30.99111222,0,0,23.65829261,-21.3413755,6.59034549,100.7281808,40.91584212,0,0
5.06000019,-14.13401212,0.91173353,18.06738678,-2.09016018,0.95813379,0.28907923,31.18337683,-5.23621153,-13.69691435,111.7692305,111.7692305,-3.06159706,0,0,31.2100999,2.40143225,-0.37132434,43.42433079,43.42433079,14.84488144,0,0,-31.03609957,-1.28353848,-10.29560382,-15.58595239,-11.7668418,-19.56024837,67.98561284,31.00443509,0,0,27.74036476,-20.3321577,7.35754566,101.7042254,40.98625861,0,0
5.06500019,-13.82957135,0.40034683,19.4973366,-2.06081024,0.95496213,0.28696269,33.76028962,-6.01544015,-14.19650929,113.3343247,113.3343247,-1.21380015,0,0,29.12275464,2.13689708,1.28470961,43.52429014,43.52429014,17.15282688,0,0,-30.72723029,-0.00937,-11.64482235,-18.68653852,-12.11650221,-18.43977003,67.15538207,36.04667864,0,0,31.89431359,-19.32534827,8.04406714,102.6768221,40.21750508,0,0
5.07000019,-13.5552353,-0.18763955,20.93561368,-2.03162838,0.95171961,0.2848088,36.41895772,-6.86612633,-14.63819091,114.5642293,114.5642293,0.52349781,0,0,27.13598862,1.67471065,2.91841456,43.56926796,43.56926796,19.15764857,0,0,-30.34526507,1.35431653,-12.95345624,-21.89896731,-12.48496916,-17.45324098,66.77641331,40.69036304,0,0,36.12143882,-18.31236965,8.6217831,103.5447119,39.85551521,0,0
5.07500019,-13.34782675,-0.8294609,22.34201657,-2.00256509,0.94841167,0.28268165,39.1895253,-7.79797497,-14.97099799,115.4550605,115.4550605,2.12054215,0,0,25.27751957,1.03371371,4.49016675,43.53654282,43.53654282,20.8053517,0,0,-29.86128891,2.75388326,-14.19283589,-25.1866796,-12.82238264,-16.75494254,66.60266021,47.14438183,0,0,40.39723683,-17.29695223,9.09991006,104.3744201,39.0322493,0,0
5.08000019,-13.24861956,-1.50204274,23.66119991,-1.97354417,0.9450393,0.2806622,42.1073065,-8.80030366,-15.128966,116.0041991,116.0041991,3.55198009,0,0,23.56908283,0.24253392,5.95806261,43.39905,43.39905,22.05480922,0,0,-29.242842,4.12642095,-15.33498904,-28.51806395,-13.08516518,-16.4292413,66.5719435,55.44414031,0,0,44.68049591,-16.28917638,9.45515395,105.1573434,38.06464971,0,0
5.08500019,-13.29525936,-2.18768052,24.8311835,-1.94447021,0.94160671,0.27882698,45.20360658,-9.83842288,-15.04797279,116.2071307,116.2071307,4.79895836,0,0,22.02251539,-0.6650423,7.28596856,43.13320437,43.13320437,22.87486191,0,0,-28.45896676,5.41135906,-16.35474171,-31.8716554,-13.24435855,-16.4377238,66.73991148,64.023649,0,0,48.9162335,-15.30751309,9.6615838,105.9032142,37.1369023,0,0
5.09000019,-13.51208881,-2.87403359,25.79259315,-1.91523869,0.93813119,0.27722634,48.49151904,-10.85847793,-14.68185481,116.055866,116.055866,5.85056576,0,0,20.63258196,-1.65417048,8.44836496,42.72432091,42.72432091,23.24305407,0,0,-27.48597096,6.56141749,-17.24258591,-35.31463007,-13.33277859,-16.16229873,67.57650065,64.16309185,0,0,53.03642857,-14.38687744,9.67482143,106.57661,37.15899791,0,0
5.09500019,-13.90138636,-3.55190631,26.49608785,-1.88574307,0.93465235,0.27587434,51.95149964,-11.79452541,-14.01579799,115.5385606,115.5385606,6.70620588,0,0,19.3706311,-2.69510579,9.4291366,42.16750452,42.16750452,23.14084733,0,0,-26.33956933,7.55108031,-17.92989303,-38.60097182,-13.23765688,-16.99652366,67.75211484,76.32838142,0,0,56.99730361,-13.52212444,9.55530371,107.3877542,35.60393458,0,0
5.10000019,-14.43829482,-4.21003153,26.9056481,-1.85587295,0.93124483,0.27475292,55.52030181,-12.57749861,-13.07187898,114.6398015,114.6398015,7.37717138,0,0,18.17867544,-3.76680131,10.21630946,41.46098686,41.46098686,22.54917255,0,0,-25.03817339,8.37269401,-18.42917552,-41.93730193,-13.07965309,-17.46032608,68.46571416,79.80448848,0,0,60.73036624,-12.76012806,9.23575194,108.1813439,35.02883807,0,0
